term	POS	sentiment
"detraction"	"n"	-1.0
"detractor"	"n"	-1.0
"detriment"	"n"	-2.0
"detrimental"	"adj"	-2.0
"detritus"	"n"	0.0
"deuce"	"n"	0.0
"devaluation"	"n"	-1.0
"devalue"	"v"	-1.0
"devastate"	"v"	-2.0
"devastating"	"adj"	-3.0
"devastation"	"n"	-2.0
"develop"	"v"	0.0
"developer"	"n"	0.0
"developing"	"adj"	0.0
"development"	"n"	0.0
"deviance"	"n"	0.0
"deviant"	"adj"	-2.0
"deviate"	"adj"	-1.0
"deviate"	"v"	-1.0
"deviation"	"n"	-1.0
"device"	"n"	0.0
"devil"	"v"	-1.0
"devil"	"n"	-1.0
"devilish"	"adj"	-1.0
"devilish"	"adv"	-1.0
"devilishly"	"adv"	-1.0
"devil-may-care"	"adj"	-1.0
"devilment"	"n"	-1.0
"deviltry"	"n"	-1.0
"devious"	"adj"	-2.0
"deviously"	"adv"	-2.0
"deviousness"	"n"	-1.0
"devise"	"v"	0.0
"devoid"	"adj"	-1.0
"devolve"	"v"	0.0
"devote"	"v"	0.0
"devoted"	"adj"	2.0
"devotedly"	"adv"	2.0
"devotee"	"n"	0.0
"devotion"	"n"	2.0
"devotional"	"adj"	1.0
"devour"	"v"	-1.0
"devout"	"adj"	1.0
"devoutly"	"adv"	2.0
"devoutness"	"n"	2.0
"dew"	"n"	0.0
"dewdrop"	"n"	0.0
"dewlap"	"n"	0.0
"dewy"	"adj"	0.0
"dexterity"	"n"	2.0
"dexterous"	"adj"	1.0
"dexterously"	"adv"	1.0
"dextrose"	"n"	0.0
"dextrous"	"adj"	2.0
"diabetes"	"n"	-1.0
"diabetic"	"adj"	-1.0
"diabolic"	"adj"	-2.0
"diabolical"	"adj"	-2.0
"diabolically"	"adv"	-2.0
"diacritic"	"adj"	0.0
"diadem"	"n"	0.0
"diagnose"	"v"	0.0
"diagnoses"	"n"	0.0
"diagnosis"	"n"	0.0
"diagnostic"	"adj"	0.0
"diagnostician"	"n"	0.0
"diagonal"	"adj"	0.0
"diagonally"	"adv"	0.0
"diagram"	"v"	0.0
"dial"	"v"	0.0
"dialect"	"n"	0.0
"dialectal"	"adj"	0.0
"dialectic"	"adj"	0.0
"dialog"	"n"	0.0
"dialogue"	"n"	0.0
"dialyses"	"n"	0.0
"dialysis"	"n"	0.0
"diameter"	"n"	0.0
"diametrical"	"adj"	0.0
"diametrically"	"adv"	-1.0
"diamond"	"n"	0.0
"diaper"	"n"	0.0
"diaphanous"	"adj"	0.0
"diaphragm"	"n"	0.0
"diarist"	"n"	0.0
"diarrhea"	"n"	-1.0
"diarrhoea"	"n"	-1.0
"diary"	"n"	0.0
"diastolic"	"adj"	0.0
"diatribe"	"n"	-1.0
"dice"	"v"	0.0
"dichotomy"	"n"	0.0
"dick"	"n"	-2.0
"dicker"	"v"	-1.0
"dickey"	"adj"	-1.0
"dicky"	"adj"	-1.0
"dicta"	"n"	0.0
"dictate"	"v"	0.0
"dictation"	"n"	0.0
"dictator"	"n"	-1.0
"dictatorial"	"adj"	-2.0
"dictatorship"	"n"	-1.0
"diction"	"n"	0.0
"dictionary"	"n"	0.0
"dictum"	"n"	0.0
"did"	"v"	0.0
"didactic"	"adj"	0.0
"diddle"	"v"	-1.0
"die"	"v"	-2.0
"diehard"	"adj"	-1.0
"die-hard"	"adj"	0.0
"diereses"	"n"	0.0
"dieresis"	"n"	0.0
"diesel"	"n"	0.0
"diet"	"v"	0.0
"dietary"	"adj"	0.0
"dieter"	"n"	0.0
"dietetic"	"adj"	0.0
"dietetics"	"n"	0.0
"dietician"	"n"	0.0
"dietitian"	"n"	0.0
"differ"	"v"	0.0
"difference"	"n"	0.0
"different"	"adj"	0.0
"differential"	"adj"	0.0
"differentiate"	"v"	0.0
"differentiation"	"n"	0.0
"differently"	"adv"	0.0
"difficult"	"adj"	-2.0
"difficulty"	"n"	-2.0
"diffidence"	"n"	-1.0
"diffident"	"adj"	-1.0
"diffidently"	"adv"	-1.0
"diffraction"	"n"	0.0
"diffuse"	"adj"	0.0
"diffuse"	"v"	0.0
"diffusely"	"adv"	0.0
"diffuseness"	"n"	0.0
"diffusion"	"n"	0.0
"dig"	"v"	0.0
"digest"	"v"	0.0
"digestible"	"adj"	0.0
"digestion"	"n"	0.0
"digestive"	"adj"	0.0
"digger"	"n"	0.0
"digit"	"n"	0.0
"digital"	"adj"	0.0
"digitalis"	"n"	0.0
"dignified"	"adj"	2.0
"dignify"	"v"	0.0
"dignitary"	"n"	0.0
"dignity"	"n"	1.0
"digraph"	"n"	0.0
"digress"	"v"	0.0
"digression"	"n"	0.0
"digressive"	"adj"	0.0
"dike"	"v"	0.0
"dilapidated"	"adj"	-2.0
"dilapidation"	"n"	-1.0
"dilate"	"v"	0.0
"dilation"	"n"	0.0
"dilatory"	"adj"	0.0
"dilemma"	"n"	-1.0
"dilettante"	"adj"	0.0
"dilettantism"	"n"	0.0
"diligence"	"n"	2.0
"diligent"	"adj"	2.0
"diligently"	"adv"	2.0
"dill"	"n"	0.0
"dillydally"	"v"	-1.0
"dilute"	"v"	0.0
"diluted"	"adj"	-1.0
"dilution"	"n"	0.0
"dim"	"adj"	-1.0
"dim"	"v"	0.0
"dime"	"n"	0.0
"dimension"	"v"	0.0
"dimensional"	"adj"	0.0
"diminish"	"v"	0.0
"diminuendo"	"adj"	0.0
"diminution"	"n"	-1.0
"diminutive"	"adj"	0.0
"dimly"	"adv"	-1.0
"dimmer"	"adj"	0.0
"dimness"	"n"	0.0
"dimple"	"v"	0.0
"dimwit"	"n"	-2.0
"dimwitted"	"adj"	-2.0
"din"	"n"	-1.0
"dine"	"v"	0.0
"diner"	"n"	0.0
"dinette"	"n"	0.0
"ding"	"v"	0.0
"dinghy"	"n"	0.0
"dinginess"	"n"	-1.0
"dingo"	"n"	0.0
"dingy"	"adj"	-1.0
"dinky"	"adj"	-1.0
"dinner"	"n"	0.0
"dinosaur"	"n"	0.0
"dint"	"n"	0.0
"diocesan"	"adj"	0.0
"diocese"	"n"	0.0
"diode"	"n"	0.0
"diorama"	"n"	0.0
"dioxin"	"n"	0.0
"dip"	"v"	0.0
"diphtheria"	"n"	-2.0
"diphthong"	"n"	0.0
"diploma"	"n"	0.0
"diplomacy"	"n"	0.0
"diplomat"	"n"	0.0
"diplomatic"	"adj"	2.0
"diplomatically"	"adv"	2.0
"dipper"	"n"	0.0
"dipsomania"	"n"	0.0
"dipsomaniac"	"n"	0.0
"dipstick"	"n"	0.0
"dire"	"adj"	-3.0
"direct"	"adj"	0.0
"direct"	"adv"	0.0
"direct"	"v"	0.0
"direction"	"n"	0.0
"directional"	"adj"	0.0
"directions"	"n"	0.0
"directive"	"adj"	0.0
"directly"	"adv"	0.0
"directness"	"n"	0.0
"director"	"n"	0.0
"directorate"	"n"	0.0
"directorship"	"n"	0.0
"directory"	"n"	0.0
"dirge"	"n"	-1.0
"dirigible"	"adj"	0.0
"dirk"	"n"	0.0
"dirt"	"adj"	-1.0
"dirtiness"	"n"	-2.0
"dirty"	"adj"	-2.0
"dirty"	"v"	-2.0
"dis"	"n"	0.0
"disability"	"n"	-1.0
"disable"	"v"	-1.0
"disabled"	"adj"	-1.0
"disabuse"	"v"	0.0
"disadvantage"	"v"	-1.0
"disadvantaged"	"adj"	-2.0
"disadvantageous"	"adj"	-2.0
"disaffected"	"adj"	-1.0
"disaffection"	"n"	-2.0
"disagree"	"v"	-1.0
"disagreeable"	"adj"	-2.0
"disagreeably"	"adv"	-2.0
"disagreement"	"n"	-2.0
"disallow"	"v"	-1.0
"disappear"	"v"	0.0
"disappearance"	"n"	0.0
"disappoint"	"v"	-2.0
"disappointed"	"adj"	-2.0
"disappointing"	"adj"	-2.0
"disappointingly"	"adv"	-2.0
"disappointment"	"n"	-2.0
"disapprobation"	"n"	-2.0
"disapproval"	"n"	-2.0
"disapprove"	"v"	-2.0
"disapprovingly"	"adv"	-2.0
"disarm"	"v"	-1.0
"disarmament"	"n"	0.0
"disarming"	"adj"	2.0
"disarrange"	"v"	0.0
"disarrangement"	"n"	-1.0
"disarray"	"v"	-1.0
"disassemble"	"v"	0.0
"disassociate"	"v"	0.0
"disaster"	"n"	-2.0
"disastrous"	"adj"	-3.0
"disastrously"	"adv"	-3.0
"disavow"	"v"	-1.0
"disavowal"	"n"	-1.0
"disband"	"v"	0.0
"disbar"	"v"	-1.0
"disbarment"	"n"	-2.0
"disbelief"	"n"	-1.0
"disbelieve"	"v"	-1.0
"disburse"	"v"	0.0
"disbursement"	"n"	0.0
"disc"	"n"	0.0
"discard"	"v"	0.0
"discern"	"v"	0.0
"discernible"	"adj"	0.0
"discerning"	"adj"	2.0
"discernment"	"n"	0.0
"discharge"	"v"	0.0
"disciple"	"n"	0.0
"disciplinarian"	"n"	0.0
"disciplinary"	"adj"	0.0
"discipline"	"v"	0.0
"disclaim"	"v"	-1.0
"disclaimer"	"n"	0.0
"disclose"	"v"	0.0
"disclosure"	"n"	0.0
"disco"	"v"	0.0
"discolor"	"v"	-1.0
"discoloration"	"n"	-1.0
"discomfit"	"v"	-1.0
"discomfiture"	"n"	-1.0
"discomfort"	"n"	-1.0
"disconcert"	"v"	-1.0
"disconcerting"	"adj"	-1.0
"disconnect"	"v"	0.0
"disconnected"	"adj"	-1.0
"disconnection"	"n"	-1.0
"disconsolate"	"adj"	-2.0
"disconsolately"	"adv"	-2.0
"discontent"	"adj"	-1.0
"discontent"	"v"	-1.0
"discontented"	"adj"	-2.0
"discontentment"	"n"	-2.0
"discontinuance"	"n"	0.0
"discontinuation"	"n"	0.0
"discontinue"	"v"	0.0
"discontinuity"	"n"	-1.0
"discontinuous"	"adj"	-1.0
"discord"	"n"	-2.0
"discordant"	"adj"	-1.0
"discotheque"	"n"	0.0
"discount"	"v"	0.0
"discountenance"	"v"	-1.0
"discourage"	"v"	-1.0
"discouragement"	"n"	-2.0
"discouraging"	"adj"	-2.0
"discouragingly"	"adv"	-2.0
"discourse"	"v"	0.0
"discourteous"	"adj"	-2.0
"discourteously"	"adv"	-2.0
"discourtesy"	"n"	-2.0
"discover"	"v"	0.0
"discoverer"	"n"	0.0
"discovery"	"n"	0.0
"discredit"	"v"	-2.0
"discreditable"	"adj"	-2.0
"discreet"	"adj"	2.0
"discreetly"	"adv"	0.0
"discrepancy"	"n"	-1.0
"discrete"	"adj"	0.0
"discretion"	"n"	0.0
"discretionary"	"adj"	0.0
"discriminate"	"adj"	-2.0
"discriminate"	"v"	-1.0
"discriminating"	"adj"	1.0
"discrimination"	"n"	-2.0
"discriminatory"	"adj"	-2.0
"discursive"	"adj"	0.0
"discus"	"n"	0.0
"discuss"	"v"	0.0
"discussion"	"n"	0.0
"disdain"	"v"	-2.0
"disdainful"	"adj"	-2.0
"disdainfully"	"adv"	-2.0
"disease"	"n"	-2.0
"diseased"	"adj"	-2.0
"disembark"	"v"	0.0
"disembarkation"	"n"	0.0
"disembowel"	"v"	-2.0
"disenchant"	"v"	-1.0
"disenchanted"	"adj"	-2.0
"disenchantment"	"n"	-2.0
"disenfranchise"	"v"	-2.0
"disengage"	"v"	0.0
"disengagement"	"n"	0.0
"disentangle"	"v"	0.0
"disentanglement"	"n"	0.0
"disfavor"	"n"	-2.0
"disfigure"	"v"	-1.0
"disfigurement"	"n"	-2.0
"disfranchise"	"v"	-2.0
"disgorge"	"v"	0.0
"disgrace"	"v"	-2.0
"disgraceful"	"adj"	-2.0
"disgracefully"	"adv"	-2.0
"disgruntle"	"v"	-2.0
"disgruntled"	"adj"	-1.0
"disguise"	"v"	0.0
"disgust"	"v"	-2.0
"disgusted"	"adj"	-2.0
"disgusting"	"adj"	-2.0
"disgustingly"	"adv"	-2.0
"dish"	"v"	0.0
"disharmony"	"n"	-2.0
"dishcloth"	"n"	0.0
"dishearten"	"v"	-1.0
"disheveled"	"adj"	-1.0
"dishonest"	"adj"	-2.0
"dishonestly"	"adv"	-2.0
"dishonesty"	"n"	-2.0
"dishonor"	"v"	-2.0
"dishonorable"	"adj"	-2.0
"dishonorably"	"adv"	-2.0
"dishpan"	"n"	0.0
"dishrag"	"n"	0.0
"dishtowel"	"n"	0.0
"dishwasher"	"n"	0.0
"dishwater"	"n"	0.0
"disillusion"	"v"	-1.0
"disillusioned"	"adj"	-1.0
"disillusionment"	"n"	-2.0
"disinclined"	"adj"	-1.0
"disinfect"	"v"	0.0
"disinfectant"	"adj"	0.0
"disinformation"	"n"	-2.0
"disingenuous"	"adj"	-1.0
"disinherit"	"v"	-1.0
"disintegrate"	"v"	-1.0
"disintegration"	"n"	0.0
"disinter"	"v"	0.0
"disinterest"	"n"	-1.0
"disinterested"	"adj"	-1.0
"disjointed"	"adj"	-2.0
"disk"	"v"	0.0
"diskette"	"n"	0.0
"dislike"	"v"	-1.0
"dislocate"	"v"	-1.0
"dislocation"	"n"	-1.0
"dislodge"	"v"	0.0
"disloyal"	"adj"	-2.0
"disloyalty"	"n"	-2.0
"dismal"	"adj"	-3.0
"dismally"	"adv"	-2.0
"dismantle"	"v"	0.0
"dismay"	"v"	-1.0
"dismember"	"v"	-1.0
"dismemberment"	"n"	-2.0
"dismiss"	"v"	-1.0
"dismissal"	"n"	-2.0
"dismount"	"v"	0.0
"disobedience"	"n"	-2.0
"disobedient"	"adj"	-2.0
"disobey"	"v"	-2.0
"disorder"	"v"	-1.0
"disorderliness"	"n"	-1.0
"disorderly"	"adj"	-2.0
"disorganization"	"n"	-1.0
"disorganize"	"v"	-1.0
"disorganized"	"adj"	-1.0
"disorient"	"v"	-1.0
"disorientation"	"n"	-1.0
"disown"	"v"	-2.0
"disparage"	"v"	-2.0
"disparagement"	"n"	-2.0
"disparaging"	"adj"	-2.0
"disparate"	"adj"	0.0
"disparity"	"n"	0.0
"dispassionate"	"adj"	-1.0
"dispassionately"	"adv"	0.0
"dispatch"	"v"	0.0
"dispatcher"	"n"	0.0
"dispel"	"v"	0.0
"dispensable"	"adj"	-2.0
"dispensary"	"n"	0.0
"dispensation"	"n"	0.0
"dispense"	"v"	0.0
"dispenser"	"n"	0.0
"dispersal"	"n"	0.0
"disperse"	"v"	0.0
"dispersion"	"n"	0.0
"dispirit"	"v"	-2.0
"dispirited"	"adj"	-1.0
"displace"	"v"	-1.0
"displacement"	"n"	0.0
"display"	"v"	0.0
"displease"	"v"	-1.0
"displeasure"	"n"	-2.0
"disport"	"n"	0.0
"disposable"	"adj"	-1.0
"disposal"	"n"	0.0
"dispose"	"v"	0.0
"disposition"	"n"	0.0
"dispossess"	"v"	-1.0
"dispossession"	"n"	-2.0
"disproportion"	"n"	-1.0
"disproportionate"	"adj"	-1.0
"disproportionately"	"adv"	-1.0
"disprove"	"v"	-2.0
"disputable"	"adj"	-1.0
"disputant"	"n"	0.0
"disputation"	"n"	0.0
"disputatious"	"adj"	-1.0
"dispute"	"v"	-1.0
"disqualification"	"n"	-2.0
"disqualify"	"v"	-2.0
"disquiet"	"n"	-2.0
"disquisition"	"n"	0.0
"disregard"	"v"	-1.0
"disrepair"	"n"	-2.0
"disreputable"	"adj"	-2.0
"disreputably"	"adv"	-2.0
"disrepute"	"n"	-2.0
"disrespect"	"n"	-2.0
"disrespectful"	"adj"	-2.0
"disrespectfully"	"adv"	-2.0
"disrobe"	"v"	0.0
"disrupt"	"v"	-1.0
"disruption"	"n"	-1.0
"disruptive"	"adj"	-2.0
"dissatisfaction"	"n"	-2.0
"dissatisfied"	"adj"	-2.0
"dissatisfy"	"v"	-1.0
"dissect"	"v"	0.0
"dissection"	"n"	0.0
"dissemble"	"v"	-1.0
"disseminate"	"v"	0.0
"dissemination"	"n"	0.0
"dissension"	"n"	-2.0
"dissent"	"v"	-1.0
"dissenter"	"n"	-2.0
"dissertation"	"n"	0.0
"disservice"	"n"	-2.0
"dissidence"	"n"	-2.0
"dissident"	"adj"	-1.0
"dissimilar"	"adj"	0.0
"dissimilarity"	"n"	0.0
"dissimulate"	"v"	-1.0
"dissimulation"	"n"	-1.0
"dissipate"	"v"	0.0
"dissipated"	"adj"	-2.0
"dissipation"	"n"	0.0
"dissociate"	"v"	0.0
"dissociation"	"n"	0.0
"dissolute"	"adj"	-2.0
"dissolutely"	"adv"	-2.0
"dissolution"	"n"	-1.0
"dissolve"	"v"	0.0
"dissonance"	"n"	-1.0
"dissonant"	"adj"	-1.0
"dissuade"	"v"	-1.0
"dissuasion"	"n"	0.0
"distaff"	"adj"	0.0
"distance"	"v"	-1.0
"distant"	"adj"	0.0
"distantly"	"adv"	0.0
"distaste"	"n"	-2.0
"distasteful"	"adj"	-2.0
"distastefully"	"adv"	-2.0
"distemper"	"v"	0.0
"distend"	"v"	0.0
"distention"	"n"	0.0
"distill"	"v"	0.0
"distillation"	"n"	0.0
"distiller"	"n"	0.0
"distillery"	"n"	0.0
"distinct"	"adj"	1.0
"distinction"	"n"	1.0
"distinctive"	"adj"	1.0
"distinctively"	"adv"	0.0
"distinctiveness"	"n"	0.0
"distinctly"	"adv"	0.0
"distinguish"	"v"	0.0
"distinguishable"	"adj"	1.0
"distinguished"	"adj"	2.0
"distort"	"v"	-1.0
"distortion"	"n"	-1.0
"distract"	"v"	-1.0
"distracted"	"adj"	-1.0
"distraction"	"n"	-1.0
"distraught"	"adj"	-2.0
"distress"	"v"	-1.0
"distressful"	"adj"	-2.0
"distribute"	"v"	0.0
"distribution"	"n"	0.0
"distributive"	"adj"	0.0
"distributor"	"n"	0.0
"district"	"v"	0.0
"distrust"	"v"	-2.0
"distrustful"	"adj"	-2.0
"distrustfully"	"adv"	-2.0
"disturb"	"v"	-1.0
"disturbance"	"n"	-2.0
"disturbed"	"adj"	-1.0
"disturbing"	"adj"	-2.0
"disunite"	"v"	-1.0
"disunity"	"n"	-2.0
"disuse"	"n"	0.0
"ditch"	"v"	-1.0
"dither"	"v"	-1.0
"ditto"	"v"	0.0
"ditty"	"n"	0.0
"diuretic"	"n"	0.0
"diurnal"	"adj"	0.0
"div."	"n"	0.0
"diva"	"n"	0.0
"divan"	"n"	0.0
"dive"	"v"	0.0
"diver"	"n"	0.0
"diverge"	"v"	0.0
"divergence"	"n"	0.0
"divergent"	"adj"	-1.0
"divers"	"adj"	0.0
"diverse"	"adj"	0.0
"diversely"	"adv"	0.0
"diversification"	"n"	0.0
"diversify"	"v"	0.0
"diversion"	"n"	0.0
"diversionary"	"adj"	0.0
"diversity"	"n"	0.0
"divert"	"v"	0.0
"divest"	"v"	0.0
"divide"	"v"	0.0
"dividend"	"n"	0.0
"divider"	"n"	0.0
"divination"	"n"	0.0
"divine"	"adj"	3.0
"divine"	"v"	2.0
"divinely"	"adv"	3.0
"diviner"	"n"	0.0
"divinity"	"n"	0.0
"divisibility"	"n"	0.0
"divisible"	"adj"	0.0
"division"	"n"	0.0
"divisive"	"adj"	-2.0
"divisively"	"adv"	-1.0
"divisiveness"	"n"	-2.0
"divisor"	"n"	0.0
"divorce"	"v"	-2.0
"divorced"	"adj"	-1.0
"divorcee"	"n"	0.0
"divot"	"n"	0.0
"divulge"	"v"	0.0
"divvy"	"n"	0.0
"dizzily"	"adv"	-1.0
"dizziness"	"n"	-1.0
"dizzy"	"adj"	-1.0
"dizzy"	"v"	-1.0
"dj"	"v"	0.0
"do"	"v"	0.0
"doable"	"adj"	1.0
"doc"	"n"	0.0
"docile"	"adj"	0.0
"docility"	"n"	0.0
"dock"	"v"	0.0
"docket"	"v"	0.0
"dockyard"	"n"	0.0
"doctor"	"v"	-1.0
"doctoral"	"adj"	0.0
"doctorate"	"n"	0.0
"doctrinaire"	"adj"	-1.0
"doctrinal"	"adj"	0.0
"doctrine"	"n"	0.0
"docudrama"	"n"	0.0
"document"	"v"	0.0
"documentary"	"adj"	0.0
"documentation"	"n"	0.0
"dodder"	"v"	0.0
"doddering"	"adj"	-1.0
"dodge"	"v"	-1.0
"dodger"	"n"	-2.0
"dodo"	"n"	0.0
"doe"	"n"	0.0
"doer"	"n"	0.0
"does"	"v"	0.0
"doff"	"v"	0.0
"dog"	"v"	-1.0
"dog-eared"	"adj"	-1.0
"dogfight"	"v"	-1.0
"dogfish"	"n"	0.0
"dogged"	"adj"	1.0
"doggedly"	"adv"	1.0
"doggedness"	"n"	1.0
"doggerel"	"n"	-1.0
"doggie"	"n"	0.0
"doggone"	"v"	-2.0
"doggy"	"n"	0.0
"doghouse"	"n"	0.0
"dogie"	"n"	0.0
"dogma"	"n"	0.0
"dogmatic"	"adj"	-1.0
"dogmatically"	"adv"	-2.0
"dogmatism"	"n"	0.0
"dogmatist"	"n"	0.0
"dogtrot"	"n"	0.0
"dogwood"	"n"	0.0
"doily"	"n"	0.0
"doing"	"n"	0.0
"doings"	"n"	0.0
"do-it-yourself"	"adj"	0.0
"doldrums"	"n"	-1.0
"dole"	"n"	-1.0
"doleful"	"adj"	-1.0
"dolefully"	"adv"	-1.0
"doll"	"n"	0.0
"dollar"	"n"	0.0
"dollhouse"	"n"	0.0
"dollop"	"n"	0.0
"dolly"	"n"	0.0
"dolmen"	"n"	0.0
"dolorous"	"adj"	-1.0
"dolphin"	"n"	0.0
"dolt"	"n"	-2.0
"doltish"	"adj"	-1.0
"domain"	"n"	0.0
"dome"	"n"	0.0
"domed"	"adj"	0.0
"domestic"	"adj"	0.0
"domestically"	"adv"	0.0
"domesticate"	"v"	0.0
"domestication"	"n"	0.0
"domesticity"	"n"	0.0
"domicile"	"v"	0.0
"dominance"	"n"	0.0
"dominant"	"adj"	1.0
"dominantly"	"adv"	0.0
"dominate"	"v"	0.0
"domination"	"n"	0.0
"domineer"	"v"	-1.0
"domineering"	"adj"	-2.0
"dominican"	"adj"	0.0
"dominion"	"n"	0.0
"domino"	"n"	0.0
"don"	"v"	0.0
"donate"	"v"	2.0
"donation"	"n"	0.0
"done"	"adj"	1.0
"donkey"	"n"	0.0
"donor"	"n"	0.0
"donut"	"n"	0.0
"doodad"	"n"	0.0
"doodle"	"v"	0.0
"doodler"	"n"	0.0
"doom"	"v"	-2.0
"doomsday"	"n"	-2.0
"door"	"n"	0.0
"doorbell"	"n"	0.0
"doorknob"	"n"	0.0
"doorman"	"n"	0.0
"doormat"	"n"	0.0
"doorstep"	"n"	0.0
"doorway"	"n"	0.0
"dope"	"v"	-1.0
"dopey"	"adj"	-1.0
"dopy"	"adj"	-1.0
"dork"	"n"	-1.0
"dorky"	"adj"	-1.0
"dorm"	"n"	0.0
"dormancy"	"n"	0.0
"dormant"	"adj"	0.0
"dormer"	"n"	0.0
"dormice"	"n"	0.0
"dormitory"	"n"	0.0
"dormouse"	"n"	0.0
"dorsal"	"adj"	0.0
"dory"	"n"	0.0
"dosage"	"n"	0.0
"dose"	"v"	0.0
"dossier"	"n"	0.0
"dot"	"v"	0.0
"dotage"	"n"	0.0
"dote"	"v"	1.0
"double"	"adj"	0.0
"double"	"adv"	0.0
"double"	"v"	0.0
"double-barreled"	"adj"	0.0
"double-breasted"	"adj"	0.0
"double-check"	"v"	0.0
"double-date"	"v"	0.0
"double-dealing"	"adj"	-2.0
"double-jointed"	"adj"	0.0
"double-park"	"v"	0.0
"doublet"	"n"	0.0
"doubloon"	"n"	0.0
"doubly"	"adv"	0.0
"doubt"	"v"	-1.0
"doubter"	"n"	-1.0
"doubtful"	"adj"	-1.0
"doubtfully"	"adv"	-2.0
"doubtless"	"adv"	1.0
"doubtlessly"	"adv"	1.0
"douche"	"v"	0.0
"dough"	"n"	0.0
"doughnut"	"n"	0.0
"doughty"	"n"	2.0
"doughy"	"adj"	0.0
"dour"	"adj"	-1.0
"dourly"	"adv"	-1.0
"douse"	"v"	0.0
"dove"	"n"	1.0
"dovetail"	"v"	0.0
"dowager"	"n"	0.0
"dowdiness"	"n"	-1.0
"dowdy"	"adj"	-1.0
"dowel"	"n"	0.0
"down"	"adj"	-1.0
"down"	"adv"	-1.0
"down"	"v"	-1.0
"downbeat"	"adj"	-1.0
"downcast"	"adj"	-1.0
"downer"	"n"	-2.0
"downfall"	"n"	-2.0
"downgrade"	"v"	-1.0
"downhearted"	"adj"	-1.0
"downhill"	"adj"	-1.0
"downhill"	"adv"	-1.0
"download"	"v"	0.0
"downplay"	"v"	0.0
"downpour"	"n"	0.0
"downright"	"adj"	0.0
"downright"	"adv"	-2.0
"downsize"	"v"	0.0
"downstage"	"adj"	0.0
"downstage"	"adv"	0.0
"downstairs"	"adj"	0.0
"downstairs"	"adv"	0.0
"downstate"	"adj"	0.0
"downstream"	"adj"	0.0
"downstream"	"adv"	0.0
"downswing"	"n"	0.0
"down-to-earth"	"adj"	1.0
"downtown"	"adj"	0.0
"downtown"	"adv"	0.0
"downtrodden"	"adj"	-2.0
"downturn"	"n"	-1.0
"downward"	"adj"	-1.0
"downward"	"adv"	-1.0
"downwards"	"adv"	-1.0
"downwind"	"adj"	0.0
"downwind"	"adv"	0.0
"downy"	"adj"	0.0
"dowry"	"n"	0.0
"dowse"	"v"	0.0
"doxology"	"n"	0.0
"doz."	"n"	0.0
"doze"	"v"	0.0
"dozen"	"adj"	0.0
"drab"	"adj"	-1.0
"drably"	"adv"	-1.0
"drabness"	"n"	-1.0
"draft"	"v"	0.0
"draftee"	"n"	0.0
"draftiness"	"n"	-1.0
"draftsman"	"n"	0.0
"draftsmanship"	"n"	0.0
"drafty"	"adj"	0.0
"drag"	"v"	0.0
"dragnet"	"n"	0.0
"dragon"	"n"	0.0
"dragonfly"	"n"	0.0
"dragoon"	"v"	-1.0
"drain"	"v"	-1.0
"drainage"	"n"	0.0
"drainer"	"n"	0.0
"drainpipe"	"n"	0.0
"drake"	"n"	0.0
"dram"	"n"	0.0
"drama"	"n"	0.0
"dramatic"	"adj"	0.0
"dramatically"	"adv"	0.0
"dramatics"	"n"	-1.0
"dramatist"	"n"	0.0
"dramatization"	"n"	0.0
"dramatize"	"v"	0.0
"drank"	"v"	0.0
"drape"	"v"	0.0
"drapery"	"n"	0.0
"drastic"	"adj"	-1.0
"drastically"	"adv"	-1.0
"draught"	"n"	0.0
"draw"	"v"	0.0
"drawback"	"n"	-1.0
"drawbridge"	"n"	0.0
"drawer"	"n"	0.0
"drawers"	"n"	0.0
"drawing"	"n"	0.0
"drawl"	"v"	0.0
"drawn"	"adj"	-1.0
"drawstring"	"n"	0.0
"dray"	"n"	0.0
"dread"	"adj"	-2.0
"dread"	"v"	-2.0
"dreadful"	"adj"	-2.0
"dreadfully"	"adv"	-2.0
"dreadlocks"	"n"	0.0
"dream"	"v"	0.0
"dreamer"	"n"	0.0
"dreamily"	"adv"	0.0
"dreamland"	"n"	0.0
"dreamless"	"adj"	0.0
"dreamlike"	"adj"	0.0
"dreamt"	"v"	0.0
"dreamy"	"adj"	0.0
"drearily"	"adv"	-2.0
"dreariness"	"n"	-2.0
"dreary"	"adj"	-2.0
"dredge"	"v"	0.0
"dredger"	"n"	0.0
"dregs"	"n"	-1.0
"drench"	"v"	-1.0
"dress"	"adj"	0.0
"dress"	"v"	0.0
"dressage"	"n"	0.0
"dresser"	"n"	0.0
"dressing"	"n"	0.0
"dressmaker"	"n"	0.0
"dressmaking"	"n"	0.0
"dressy"	"adj"	0.0
"drew"	"v"	0.0
"dribble"	"v"	0.0
"dribbler"	"n"	0.0
"dried"	"adj"	0.0
"drier"	"adj"	0.0
"drift"	"v"	0.0
"drifter"	"n"	-1.0
"driftwood"	"n"	0.0
"drill"	"v"	0.0
"drily"	"adv"	-1.0
"drink"	"v"	0.0
"drinkable"	"adj"	1.0
"drinker"	"n"	0.0
"drip"	"v"	0.0
"drip-dry"	"adj"	0.0
"drip-dry"	"v"	0.0
"drippings"	"n"	0.0
"drive"	"v"	0.0
"drivel"	"v"	-1.0
"driven"	"adj"	1.0
"driver"	"n"	0.0
"driveway"	"n"	0.0
"drizzle"	"v"	0.0
"drizzly"	"adj"	0.0
"droll"	"adj"	1.0
